gene,#H0,#H1,#H2,#H3,#H4
467,0,0.006127450980392157,NaN,NaN,NaN
468,0,0.020100502512562814,NaN,NaN,NaN
469,0.2916666666666667,0.16374269005847952,NaN,NaN,NaN
470,0.6666666666666666,0.018018018018018018,NaN,NaN,NaN
471,1,0.7681159420289855,NaN,NaN,NaN
472,NaN,0,NaN,NaN,NaN
473,0,0.7831325301204819,NaN,NaN,NaN
474,1,0,NaN,NaN,NaN
475,1,0.9538461538461539,NaN,NaN,NaN
476,1,0.18120805369127516,NaN,NaN,NaN
477,0,0,NaN,NaN,NaN
478,1,0,NaN,NaN,NaN
479,0,0,NaN,NaN,NaN
480,0,0.009771986970684038,NaN,NaN,NaN
481,0.8181818181818182,0.08947368421052632,NaN,NaN,NaN
482,1,0,NaN,NaN,NaN
483,1,0,NaN,NaN,NaN
484,1,0.006802721088435374,NaN,NaN,NaN
485,0,0.3359375,NaN,NaN,NaN
486,0.2391304347826087,0.4432059447983015,NaN,NaN,NaN
487,0,0.9318181818181818,NaN,NaN,NaN
488,0,0.19105199516324062,NaN,NaN,NaN
489,1,0.0182648401826484,NaN,NaN,NaN
490,0,0.48905109489051096,NaN,NaN,NaN
491,0,0.05113636363636364,NaN,NaN,NaN
492,1,0,NaN,NaN,NaN
493,1,0.07336244541484715,NaN,NaN,NaN
494,0,0.17673048600883653,NaN,NaN,NaN
495,1,0,NaN,NaN,NaN
496,0,0.009009009009009009,NaN,NaN,NaN
497,0,0,NaN,NaN,NaN
498,0,0,NaN,NaN,NaN
499,1,0,NaN,NaN,NaN
500,NaN,0.7221884498480243,NaN,NaN,NaN
501,0,0.017905102954341987,NaN,NaN,NaN
502,1,0.07751937984496124,NaN,NaN,NaN
503,1,0.3983739837398374,NaN,NaN,NaN
504,0,0.08021390374331551,NaN,NaN,NaN
505,1,0,NaN,NaN,NaN
506,0,0.025,NaN,NaN,NaN
507,0.19230769230769232,0.4357142857142857,NaN,NaN,NaN
508,0,0.6644295302013423,NaN,NaN,NaN
509,0,0.005714285714285714,NaN,NaN,NaN
510,NaN,0.6056338028169014,NaN,NaN,NaN
511,NaN,0.023668639053254437,NaN,NaN,NaN
512,0,0.018292682926829267,NaN,NaN,NaN
513,NaN,0,NaN,NaN,NaN
514,1,0.23684210526315788,NaN,NaN,NaN
515,0.7368421052631579,0.004545454545454545,NaN,NaN,NaN
516,0,0.9095334685598377,NaN,NaN,NaN
517,0.6774193548387096,0.025906735751295335,NaN,NaN,NaN
518,0.8571428571428571,0.3310344827586207,NaN,NaN,NaN
519,0,0.9014084507042254,NaN,NaN,NaN
520,0,0.152317880794702,NaN,NaN,NaN
521,0,0.7159090909090909,NaN,NaN,NaN
522,0.022222222222222223,0.012690355329949238,NaN,NaN,NaN
523,0,0,NaN,NaN,NaN
524,0,0.7831325301204819,NaN,NaN,NaN
525,1,0.023121387283236993,NaN,NaN,NaN
526,1,0.013745704467353952,NaN,NaN,NaN
527,1,0.14516129032258066,NaN,NaN,NaN
528,0,0.005714285714285714,NaN,NaN,NaN
529,0,0.1978798586572438,NaN,NaN,NaN
530,0,0.28776978417266186,NaN,NaN,NaN
531,0,0,NaN,NaN,NaN
532,0,0.006802721088435374,NaN,NaN,NaN
533,0,0.4206896551724138,NaN,NaN,NaN
534,NaN,0.39285714285714285,NaN,NaN,NaN
535,0,0.41379310344827586,NaN,NaN,NaN
536,1,0.4537037037037037,NaN,NaN,NaN
537,NaN,0,NaN,NaN,NaN
538,1,0.006211180124223602,NaN,NaN,NaN
539,0,0,NaN,NaN,NaN
540,1,0.4909090909090909,NaN,NaN,NaN
541,0,0.3902439024390244,NaN,NaN,NaN
542,0,0.005714285714285714,NaN,NaN,NaN
543,0,0,NaN,NaN,NaN
544,1,0.7681159420289855,NaN,NaN,NaN
545,NaN,0.008264462809917356,NaN,NaN,NaN
546,1,0.008333333333333333,NaN,NaN,NaN
547,0,0.2925170068027211,NaN,NaN,NaN
548,0,0.4755244755244755,NaN,NaN,NaN
549,0,0.5897435897435898,NaN,NaN,NaN
550,0,0.43577235772357725,NaN,NaN,NaN
551,0,0.5789473684210527,NaN,NaN,NaN
552,0,0.02040816326530612,NaN,NaN,NaN
553,0,0,NaN,NaN,NaN
554,1,0.2594594594594595,NaN,NaN,NaN
555,0,0.1111111111111111,NaN,NaN,NaN
556,0,0.0761904761904762,NaN,NaN,NaN
557,0,0,NaN,NaN,NaN
558,0,0.41379310344827586,NaN,NaN,NaN
559,0,0,NaN,NaN,NaN
560,NaN,0,NaN,NaN,NaN
561,0,0,NaN,NaN,NaN
562,0,0.005714285714285714,NaN,NaN,NaN
563,1,0.004868549172346641,NaN,NaN,NaN
564,1,0,NaN,NaN,NaN
565,0,0,NaN,NaN,NaN
566,NaN,0.023255813953488372,NaN,NaN,NaN
567,NaN,0.008264462809917356,NaN,NaN,NaN
568,0,0,NaN,NaN,NaN
569,1,0.7487684729064039,NaN,NaN,NaN
570,1,0,NaN,NaN,NaN
571,0,0.016597510373443983,NaN,NaN,NaN
572,1,0.7333333333333333,NaN,NaN,NaN
573,0,0.005714285714285714,NaN,NaN,NaN
574,0,0.42342342342342343,NaN,NaN,NaN
575,0,0.05521472392638037,NaN,NaN,NaN
576,0,0.3983739837398374,NaN,NaN,NaN
577,0,0.5577492596248766,NaN,NaN,NaN
578,0,0.1510791366906475,NaN,NaN,NaN
579,1,0,NaN,NaN,NaN
580,0,0.007575757575757576,NaN,NaN,NaN
581,0,0,NaN,NaN,NaN
582,1,0.6178571428571429,NaN,NaN,NaN
583,0,0.13580246913580246,NaN,NaN,NaN
584,0,0.7681159420289855,NaN,NaN,NaN
585,NaN,0,NaN,NaN,NaN
586,0,0.5769230769230769,NaN,NaN,NaN
587,1,0.42990654205607476,NaN,NaN,NaN
588,0,0.32608695652173914,NaN,NaN,NaN
589,0,0.007633587786259542,NaN,NaN,NaN
590,0,0,NaN,NaN,NaN
591,1,0.4206896551724138,NaN,NaN,NaN
592,0,0,NaN,NaN,NaN
593,0,0.30303030303030304,NaN,NaN,NaN
594,0,0,NaN,NaN,NaN
595,1,0.008403361344537815,NaN,NaN,NaN
596,0,0,NaN,NaN,NaN
597,0,0.012658227848101266,NaN,NaN,NaN
598,0,0,NaN,NaN,NaN
599,0,0.008658008658008658,NaN,NaN,NaN
600,0,0,NaN,NaN,NaN
601,0,0.5271739130434783,NaN,NaN,NaN
602,0,0.16,NaN,NaN,NaN
603,0,0,NaN,NaN,NaN
