gene,#H1,#H2,#H3,#H4,#H5
532,NaN,NaN,NaN,0.006802721088435374,NaN
533,NaN,NaN,NaN,0.4206896551724138,NaN
534,NaN,NaN,NaN,0.39285714285714285,NaN
535,NaN,NaN,NaN,0.41379310344827586,NaN
536,NaN,NaN,NaN,0.4537037037037037,NaN
537,NaN,NaN,NaN,0,NaN
538,NaN,NaN,NaN,0.006211180124223602,NaN
539,NaN,NaN,NaN,0,NaN
540,NaN,NaN,NaN,0.4909090909090909,NaN
541,NaN,NaN,NaN,0.3902439024390244,NaN
542,NaN,NaN,NaN,0.005714285714285714,NaN
543,NaN,NaN,NaN,0,NaN
544,NaN,NaN,NaN,0.7681159420289855,NaN
545,NaN,NaN,NaN,0.008264462809917356,NaN
546,NaN,NaN,NaN,0.008333333333333333,NaN
547,NaN,NaN,NaN,0.2925170068027211,NaN
548,NaN,NaN,NaN,0.4755244755244755,NaN
549,NaN,NaN,NaN,0.5897435897435898,NaN
550,NaN,NaN,NaN,0.43577235772357725,NaN
551,NaN,NaN,NaN,0.5789473684210527,NaN
552,NaN,NaN,NaN,0.02040816326530612,NaN
553,NaN,NaN,NaN,0,NaN
554,NaN,NaN,NaN,0.2594594594594595,NaN
555,NaN,NaN,NaN,0.1111111111111111,NaN
556,NaN,NaN,NaN,0.0761904761904762,NaN
557,NaN,NaN,NaN,0,NaN
558,NaN,NaN,NaN,0.41379310344827586,NaN
559,NaN,NaN,NaN,0,NaN
560,NaN,NaN,NaN,0,NaN
561,NaN,NaN,NaN,0,NaN
562,NaN,NaN,NaN,0.005714285714285714,NaN
563,NaN,NaN,NaN,0.004868549172346641,NaN
564,NaN,NaN,NaN,0,NaN
565,NaN,NaN,NaN,0,NaN
566,NaN,NaN,NaN,0.023255813953488372,NaN
567,NaN,NaN,NaN,0.008264462809917356,NaN
568,NaN,NaN,NaN,0,NaN
569,NaN,NaN,NaN,0.7487684729064039,NaN
570,NaN,NaN,NaN,0,NaN
571,NaN,NaN,NaN,0.016597510373443983,NaN
572,NaN,NaN,NaN,0.7333333333333333,NaN
573,NaN,NaN,NaN,0.005714285714285714,NaN
574,NaN,NaN,NaN,0.42342342342342343,NaN
575,NaN,NaN,NaN,0.05521472392638037,NaN
576,NaN,NaN,NaN,0.3983739837398374,NaN
577,NaN,NaN,NaN,0.5577492596248766,NaN
578,NaN,NaN,NaN,0.1510791366906475,NaN
579,NaN,NaN,NaN,0,NaN
580,NaN,NaN,NaN,0.007575757575757576,NaN
581,NaN,NaN,NaN,0,NaN
